Hospital A.C. Camargo - São Paulo - SP,Aclimação,(11) 2189-5000,Rua Castro Alves 131 - Aclimação - São Paulo - SP 13424-367,@-23.567073416288615 @-46.63855151990882,Centro,SP
Hospital do Servidor Publico Municipal - São Paulo - SP,Aclimação,(11) 3277-5303,Rua Castro Alves 60 - Aclimação São Paulo - SP 01532-000,@-23.567427117335463 @-46.63911057088798,Centro,SP
Hospital Beneficência Portuguesa de São Paulo - SP,Bela Vista,(11) 3505-1000,Rua Maestro Cardim 1041 - Bela Vista São Paulo - SP 01323-130,@-23.570083235797107 @-46.64191015897977,Centro,SP
Hospital IGESP,Bela Vista,(11) 3147-6330 ,Rua Dr. Seng 320 1 subsolo,@-23.560900097376507 @-46.65027992735557,Centro,SP
Hospital Pérola Byington ,Bela Vista,(11) 3248-8000,Avenida Brigadeiro Luiz Antonio 683 / 2o Subsolo ,@-23.556213155387066 @-46.63964754097925,Centro,SP
Hospital Sírio-Libanês - Bela Vista - SP,Bela Vista,(11) 3394-5260 / (11) 3394-0200,Rua Dona Adma Jafet 91 - Bela Vista São Paulo - SP 01308-050,@-23.557117079917173 @-46.65464558721673,Centro,SP
Instituto HOC - Bela Vista - SP,Bela Vista,0800 772 1227 / (11) 3286-7372,Rua João Julião 331 - Bela Vista São Paulo - SP 01323-020,@-23.56858767381254 @-46.643212442403595,Centro,SP
Hospital 9 de Julho ,Cerqueira Cesar,(11) 3147-9999,Rua Peixoto Gomide 613- 1o subsolo- Cerqueira César-São Paulo-SP ,,Centro,SP
Pró-Sangue - São Paulo (Unidade Clínicas) - SP,Cerqueira Cesar,0800-55-0300 / (11) 4573-7800,Avenida Dr. Enéas Carvalho de Aguiar 155 - Cerqueira César São Paulo - SP 05403-000,@-23.557586487113266 @-46.66896090232076,Centro,SP
Hospital Samaritano Higienópolis - São Paulo - SP,Higienópolis,(11) 3821-5852/ 3821-5853,Rua Conselheiro Brotero 1486 - Higienópolis São Paulo - SP 01232-010,@-23.539114645395884 @-46.661836802917456,Oeste,SP
Hospital Municipal São Luiz Gonzaga ,Jaçanã,(11) 3466-1000 ,Rua Michel Ouchana 94 ,@-23.4602835432851 @-46.58246533232765,Norte,SP
CTA São Paulo - SP,Jardim Paulista,(11) 3372-6611,Avenida Brigadeiro Luís Antônio 2533 - Jardim Paulista São Paulo - SP 01401-000,@-23.569579924867337 @-46.6505196249348,Oeste,SP
Serviço de Hemoterapia Hospital 9 de Julho - SP,Jardim Paulista,(11) 3285-2922 / (11) 3147-9797,Rua Peixoto Gomide 625 - Jardim Paulista São Paulo - SP 01409-001,@-23.559614317466146 @-46.65533428197777,Oeste,SP
Hemocentro São Lucas - Liberdade - SP,Liberdade,(11) 3660-6044,Rua Barão de Iguape 212 - Liberdade São Paulo - SP 01507-000,@-23.558431389199885 @-46.63489478378197,Oeste,SP
Hospital Mandaqui ,Mandaqui,0800-55-0300 ,Rua Voluntários da Pátria 4227 ,@-23.484491651097912 @-46.63034057666553,Norte,SP
Banco de Sangue do Hospital Albert Einstein - São Paulo - SP,Morumbi,(11) 2151-1233,Avenida Albert Einstein 627 - Morumbi São Paulo - SP 05652-900,@-23.5990693521708 @-46.71489646282873,Oeste,SP
Hospital do Coração ,Paraíso,(11) 3053-6537 ,Rua Abilio Soares 176 ,@-23.573569735479428 @-46.64335981604412,Sul,SP
Banco de Sangue de São Paulo – Jd Paulista - SP,Paraíso,(11) 3373-2050,Rua Tomás Carvalhal 711 - Paraíso São Paulo - SP 04006-002,@-23.577780025362248 @-46.6478920589179,Sul,SP
Biotec Processamento do Sangue Ltda,Pompeia,(11) 3674-4451 / (11) 3674-4455 / (11) 3674-4454,Rua tavares bastos 425-CEP 05012-020- Vila Pompéia-São Paulo- SP,@-23.534266051569105 @-46.68697712877745,Oeste,SP
Hospital Samaritano,Santa Cecília,(11) 38215852 / (11) 3821 5853 ,Rua Conselheiro Brotero 1486 – Térreo,@-23.539031037346668 @-46.66184021504896,Centro,SP
São Camilo Santana ,Santana,(11)2972-8000,Rua Voluntários da Pátria 3997 ,@-23.485756399696555 @-46.62867290426059,Norte,SP
Banco de Sangue Paulista - São Paulo - SP,Santo Amaro,(11) 5521-4013,Rua Iguatinga 382/386 - Santo Amaro São Paulo - SP 04744-040,@-23.65595463737257 @-46.7055329930984,Sul,SP
Hospital Municipal Doutor Carmino Caricchio de Tatuapé - São Paulo - SP,Tatuapé,(11) 2942-8094 / (11) 3394-7081 / (11) 3394-6980 / 11 3394-7317 / 11–2942-8094,Avenida Celso Garcia 4815 - Tatuapé São Paulo - SP 03085-030,@-23.532708968779815 @-46.56652763873117,Leste,SP
Hospital Santa Marcelina - São Paulo - SP,Vila Carmosina,(11) 2523-0546,Rua Harry Dannenberg 473 - Vila Carmosina São Paulo - SP 08270-010,@-23.554379709015073 @-46.46397512776769,Leste,SP
Hemocentro HSP Unifesp - São Paulo - SP,Vila Clementino,(11) 5576-4240,Rua Dr. Diogo de Faria 824 - Vila Clementino São Paulo - SP 04037-002,@-23.595512405234825 @-46.644655093772315,Sul,SP
Hospital Professor Edmundo Vasconcelos ,Vila Clementino,(11) 5080-4435 ,Rua Borges Lagoa 1450 ,@-23.59620470847653 @-46.65196930000301,Sul,SP
Iamspe - (HSPE) Banco de Sangue do Hospital do Servidor Público Estadual - SP,Vila Clementino,(11) 5583-7001,Rua Pedro de Toledo 1800 - Vila Clementino São Paulo - SP 04039-000,@-23.597365411275334 @-46.654469818169524,Sul,SP
Hemocentro da Santa Casa de São Paulo - São Paulo - SP,Vila Buarque,(11) 2176-7155,Rua Marquês de Itu 579 - Vila Buarque São Paulo - SP 01223-001,@-23.54382250385755 @-46.64997768842207,Centro,SP
Hospital Israelita Albert Einstein - Vila Mariana,Vila Mariana,(11) 2151-7083 ,Rua Madre Cabrine 462 2o andar Bloco D ,@-23.592463779956677 @-46.638739023543756,Sul,SP
Pró-Sangue - Hemocentro de São Paulo - Posto Dante Pazzanese,Vila Mariana,0800-55-0300 / (11) 4573-7800,Avenida Dr. Dante Pazzanese 500 - Vila Mariana São Paulo - SP 04012-909,@-23.585324874667986 @-46.651334423062245,Sul,SP
Banco de Sangue Paulista - São Paulo - SP,Vila Nova Conceição,(11) 3048-8969 / (11) 3048-8950,Rua Dr. Alceu de Campos Rodrigues 46  - Vila Nova Conceição São Paulo - SP 04544-000,@-23.58981837486613 @-46.6728595446497,Sul,SP
Hemocentro São Lucas - Vila Olimpia - São Paulo - SP,Vila Olímpia,(11) 3660-5972,Avenida Santo Amaro 2468 - Vila Olímpia São Paulo - SP 04556-100,@-23.605317844976053 @-46.67599075999036,Sul,SP