UCT Adamantina - SP,Adamantina,(18) 3521-2500,Rua Joaquim Luís Vian 209 - Vila Cicma Adamantina - SP 17800-000,@-21.692189270740332 @-51.068800568424166,SP
Hospital Municipal de Americana – Americana – SP,Americana,(19) 3468-1739 / (19) 3471-6750,Avenida da Saúde 415 Jardim - Nossa Sra. de Fatima Americana - SP 13478-640,@-22.742282201760016 @-47.308764315828164,SP
Banco de Sangue de Araçatuba - SP,Araçatuba,(18) 3607-3935,Rua Gaspar de Lemos 2 - Alvorada Araçatuba - SP 16013-800,@-21.228339658549217 @-50.41609216221205,SP
Núcleo de Hemoterapia de Araçatuba - SP,Araçatuba,(18) 2102-9400,Avenida Rua Arthur Ferreira da Costa 330 - Aviacao Araçatuba - SP 16055-500,@-21.19293120858644 @-50.431417305009376,SP
Hemonúcleo Regional de Araraquara - SP,Araçatuba,(16) 3301-6102,Avenida da Saudade 58 - Centro Araraquara - SP 14801-360,@-21.794063443303195 @-48.18141892887494,SP
Unidade de Coleta e Transfusão do Hospital Regional Famema - Assis - SP,Assis,(18) 3302-6000,Praça Dr. Symphronio Alves dos Santos s/n - Centro Assis - SP 19800-000,@-22.66019112552379 @-50.41011343039835,SP
Unidade de Hemoterapia - Batatais - SP,Batatais,(16) 3761-4004,Rua Dr. Manoel Furtado 235 - Centro Batatais - SP 14300-000,@-20.88857284471923 @-47.58367780258088,SP
Hemonúcleo de Bauru - SP,Bauru,(14) 3234-4412,Rua Marcos Augusto Genovez Serra 251 - Vila Regina Bauru - SP 17012-647,@-22.34241397771977 @-49.047922152609644,SP
Hemonúcleo do Hospital de Base - Bauru - SP,Bauru,(14) 3234-4412 / (14) 3227-2942 / (14) 3231-4771,Rua Monsenhor Claro 8-88 - Centro Bauru - SP 17010-260,@-22.329809663783866 @-49.07674360278029,SP
Hemonúcleo - Barretos - SP,Barretos,(17) 3321 6600,Rua Antenor Duarte Viléla 1331 - Dr. Paulo Prata Barretos - SP 14784-400,@-20.587214331915717 @-48.569211352197655,SP
Unidade de Hemoterapia - Bebedouro - SP,Bebedouro,(17) 3342-8817,Avenida Raul Furquim 2010 - Jardim Julia Bebedouro - SP 14706-045,@-20.93466142321199 @-48.496487604500416,SP
Hemocentro De Botucatu - SP,Botucatu,(14) 3811-6234 / (14) 3811-6041,Campus de Avenida Rubião Jr s/n Botucatu - SP 18600-400,@-22.889105446170525 @-48.49559083075703,SP
Hemonúcleo Regional USF - Hospital Universitário São Francisco de Assis - Bragança Paulista- Bragança Paulista - SP,Bragança Paulista,(11) 2490-1240,Avenida São Francisco de Assis 260 - Cidade Universitária Bragança Paulista - SP 12916-542,@-22.979724704042788 @-46.534414541732176,SP
Centro de Hematologia e Hemoterapia - Campinas - SP,Campinas,(19) 2514-1555,Avenida Júlio de Mesquita 571 - Cambuí Campinas - SP 13010-140,@-22.827843069604747 @-47.06376604381902,SP
Hemocentro da UNICAMP - Campinas - SP,Campinas,0800-722-8432,Rua Carlos Chagas 480 - Cidade Universitária Campinas - SP 13083-878,@-22.82879421034253 @-47.06376575564588,SP
Hospital Municipal Dr. Mário Gatti - Campinas - SP,Campinas,(19) 3272-5501 / (19) 3772-5758 / (19) 3772-5700,Avenida Pref. Faria Lima 340 - Parque Italia Campinas - SP 13036-902,@-22.916101853044157 @-47.068551283588306,SP
Hemonúcleo - Catanduva - SP,Catanduva,(17) 3522-7722,Rua Treze de Maio 974 - Centro Catanduva - SP 15800-010,@-21.139992163452614 @-48.97641541769928,SP
UCT Dracena - Santa Casa de Misericórdia e Maternidade de Dracena,Dracena,(18) 3822-1716 / (18) 5822-3500,Rua Virgílio Pagnozi 822 - CentroDracena - SP 17900-000,@-21.478587865336845 @-51.53717675836433,SP
Hospital Municipal Ermelino Matarazzo - São Paulo - SP,Ermelino Matarazzo,(11) 2545-4652 / (11) 3394-8030,Alameda Rodrigo de Brum 1989 - Ermelino Matarazzo São Paulo - SP 03807-230,@-23.499774024355375 @-46.472329843727756,SP
Núcleo de Hemoterapia de Fernandópolis - SP,Fernandópolis,(17) 3442-5544,Rua  Simão dos Santos Gomes 266 - Jardim Santista Fernandópolis - SP 15600-000,@-20.29486771040057 @-50.24738462170416,SP
Núcleo de Hemoterapia de Franca - SP,Franca,(16) 3402 5000,Avenida Dr. Hélio Palermo 4181 - Recanto do Itambé Franca - SP 14409-045,@-20.519360863223746 @-47.394258504034504,SP
Banco de Sangue HSA - Guarujá - SP,Guarujá,(13) 3389-1515,Rua Quinto Bertoldi 40 - Vila Maia Guarujá - SP 11410-010,@-23.990754803964176 @-46.25346188368592,SP
Banco de Sangue de Itapeva - SP,Itapeva,(15) 3522-0934,Rua Mario Prandini 935 - Centro Itapeva - SP 18405-020,@-23.988399315893083 @-48.877634874122975,SP
Hospital Amaral Carvalho - Jaú - SP,Jaú,(14)3602-1355/ 3602-1356 / (14) 3602-1200,Rua Doná Silvéria 150 - Chácara Braz Miraglia Jaú - SP 17210-070,@-22.291502995719586 @-48.55000914335151,SP
Banco de Sangue da Santa Casa - Limeira - SP,Limeira,(19) 3446-6115 / (19) 3446- 6124,Avenida Antonio Ometto 675 - Vila Claudia Limeira - SP 13480-470,@-22.57939363422755 @-47.40016984182506,SP
UCT Lins - SP,Lins,(14) 3533-2500 / (14) 3532-5087,Rua Pedro de Toledo 486 - Jardim Guanabara Lins - SP 16403-265,@-21.671979049868757 @-49.75523146312086,SP
FAMEMA – Marília – SP,Marília,(14) 3434-2541,Rua Lourival Freire 240 - Fragata Marília - SP 17519-050,@-22.224905384742918 @-49.93795339672109,SP
Santa Casa de Mogi das Cruzes - SP,Mogi das Cruzes,(11) 4799-2892 / (11) 4728-4700,Rua Barão de Jaceguai 1148 - Centro Mogi das Cruzes - SP 08780-906,@-23.521526847722455 @-46.18687002133836,SP
Unidade de Hemoterapia de Olímpia,Olímpia,(17) 3281-9080,Rua Síria 190 - Centro Olímpia - SP 15400-000,@-20.736527356045965 @-48.91802032697495,SP
Banco de Sangue - Ourinhos - SP,Ourinhos,(14) 3302-2245,Rua Joaquim de Azevedo 604 - Vila Moraes Ourinhos - SP 19900-280,@-22.98485168888676 @-49.86500547985864,SP
Hemonúcleo de Piracicaba - SP,Piracicaba,(19) 3422-2019,Rua Silva Jardim 1700 - Alto Piracicaba - SP 13419-140 (Antigo prédio do ‘Saúde Inteligente’ dentro do complexo da Santa Casa),@-22.73613701916124 @-47.64196761610465,SP
Laboratório Hemopacli - Pirangi - SP,Pirangi,(17) 3386-1770,Avenida da Saudade 1299 Pirangi - SP 15820-000,@-21.089082251043095 @-48.66126672786286,SP
Instituto Rh Hematologia e Hemoterapia - Presidente Prudente - SP,Presidente Prudente,(18) 3226-1555,Avenida Cel. José Soares Marcondes 2063 - Uep1-S.1 Pres. Prudente - SP 19010-089,@-22.12896941003021 @-51.3916658583481,SP
Núcleo de Hemoterapia de Presidente Prudente - SP,Presidente Prudente,(18) 3223-3511 / (18) 3223-4490,Rua Wenceslau Braz 5 - Vila Euclides Pres. Prudente - SP 19014-030,@-22.12947180726716 @-51.392401374910314,SP
Banco de Sangue - Ribeirão Preto - SP,Ribeirão Preto,(16) 3610-8929 / (16) 3610-5822,Rua Quintino Bocaiuva 470 - Centro Ribeirão Preto - SP 14015-160,@-21.186574109177347 @-47.80806224653398,SP
HEMOCENTRO RP – Ribeirão Preto (Campus USP) – SP,Ribeirão Preto,(16) 2101-9352 / 0800-979-6049,Rua Tenente Catão Roxo 2501 - Vila Monte Alegre Ribeirão Preto - SP 14051-140,@-21.160318928566696 @-47.848559714005695,SP
GSH Banco de Sangue de Ribeirão Preto - SP,Ribeirão Preto,(16) 3610-1515,Rua Quintino Bocaiuva 975 - Vila Seixas Ribeirão Preto - SP 14015-160,@-21.18936151510267 @-47.804153305214896,SP
Hemac - Ribeirão Preto - SP,Ribeirão Preto,(16) 99267-6541 / (16) 3610-1211/ (16) 2138-3298 / (16) 2138-3004,Rua Altíno Arantes 656 - Jardim Sumare Ribeirão Preto - SP 14025-120,@-21.186188106827093 @-47.81473097119368,SP
Banco de sangue da Santa Casa de Misericórdia - Rio Claro - SP,Rio Claro,(19) 3535-7022 / (19) 3535-7000,Rua Dois 297 - Centro Rio Claro - SP 13500-330,@-22.415416252124498 @-47.5567940550812,SP
Santa Casa - São Carlos - SP,São Carlos,(16) 3509-1100,Rua Paulino Botelho de Abreu Sampaio 535 - Jardim Pureza São Carlos - SP 13561-060,@-22.01196744261255 @-47.901116100176814,SP
Bioclínica Banco de Sangue - São João da Boa Vista - SP,São João da Boa Vista,(19) 3633-7036,Avenida João Osório 701 - Centro São João da Boa Vista - SP 13870-251,@-21.9821585441285 @-46.79584175209147,SP
Hemocentro - São José do Rio Preto - SP,São José do Rio Preto,(17) 3201-5151,Avenida Jamil Feres Kfouri 80 - Jardim Panorama São José do Rio Preto - SP 15091-240,@-20.827110447106094 @-49.40010608702224,SP
Hospital Beneficência Portuguesa de São José do Rio Preto - SP,São José do Rio Preto,(17) 3211-5454,Rua Luíz Vaz de Camões 3150 - Vila Redentora São José do Rio Preto - SP 15015-750,@-20.82179739839853 @-49.390010276934014,SP
Serviço de Hematologia e Hemoterapia de São José dos Campos - SP,São José do Rio Preto,(12) 3519-3766,Rua Antônio Saes 425 - Centro São José dos Campos - SP 12210-040,@-23.187053402994582 @-45.88174780232667,SP
Banco de Sangue da Santa Casa - Santos - SP,Santos,(13) 3202-0600,Avenida Dr. Cláudio Luiz da Costa 50 - Jabaquara - Santos - SP 11075-101,@-23.945567652357543 @-46.33671885483469,SP
Banco de Sangue do Hospital Ana Costa - Santos - SP,Santos,(13) 3226-9252 / (13) 3228-9000,Rua Pedro Américo 60 - Campo Grande Santos - SP 11075-400,@-23.956996956639212 @-46.333782486629836,SP
Casa de Saúde - Santos - SP,Santos,(13) 3202-7900,Rua Dr. Armando Salles de Oliveira 138 - Boqueirão Santos - SP 11050-070,@-23.962554349551326 @-46.3251979374293,SP
COLSAN - Santos - SP,Santos,(13) 3223-2860,Rua Oswaldo Cruz 197 - Boqueirão - Santos - SP 11045-101,@-23.96140243503292 @-46.321063397426066,SP
Banco de Sangue de Sertãozinho - SP,Sertãozinho,(16) 3942-3404,Rua Epitácio Pessoa 1401 - Centro Sertãozinho - SP 14160-180,@-21.136252689706666 @-47.99332486763295,SP
COLSAN - Sorocaba - SP,Sorocaba,(15) 3224-2930 / (15) 3332-9461,Avenida Comendador Pereira Inácio 564 - Jardim Vergueiro Sorocaba - SP 18030-005,@-23.510516913126096 @-47.45684417428096,SP
Hospital Estadual - Sumaré - SP,Sumaré,(19) 3883-8909 / (19) 3883-8900,Avenida da Amizade 2400 - Jardim Bela Vista Sumaré - SP 13175-490,@-22.8166388785474 @-47.24170615558801,SP
Hospital Geral de Pirajussara - Taboão da Serra - SP,Taboão da Serra,(11) 3583-9400,Avenida Ibirama 1214 - Jardim Sao Judas Tadeu Taboão da Serra - SP 06785-300,@-23.640469997941512 @-46.80987265181835,SP
Núcleo de Hemoterapia - Taubaté - SP,Taubaté,(12) 3624 1273,Avenida Inglaterra 190 - Jardim das Nações Taubaté - SP 12030-450,@-23.031189538132285 @-45.57075078698826,SP
UCT Tupã - Santa Casa da Misericórdia - SP,Tupã,(14) 3496-1022 / (14) 3496-1177,Rua Manoel Ferreira Damião 444 - Vila Santa Terezinha Tupã - SP 17625-005,@-21.924505684409784 @-50.518353834927844,SP
Hemocentro de Votuporanga - SP,Votuporanga,(17) 3423-2986,Rua Antônio Galera Lopes 2652 - Pozzobon Votuporanga - SP 15503-024,@-20.400049828139053 @-49.97194343101954,SP
Unidade de Coleta de Votuporanga - SP,Votuporanga,(17) 3423-2986,Avenida da Saudade 2603 - Cidade Nova Votuporanga - SP 15501-405,@-20.426936027093895 @-49.98144092776928,SP